date,weekday,is_weekend,weather_desc,temp,rain,snow,wind,cloud,total,male,female,sex_unknown,10s,20s,30s,40s,50s,60s,70s+,age_unknown,humid,is_rain,is_snow
2024-05-07,Tuesday,0,흐림+비,13.3,2.4,0,3,9.6,46285,21208,12212,12865,3106,11658,10725,7569,6158,2538,487,4044,77.3,1,0
2024-05-08,Wednesday,0,맑음,14.7,0,0,2.3,1.8,85827,35385,25611,24831,4811,21216,19961,14561,11132,4753,817,8576,58.8,0,0
2024-05-09,Thursday,0,맑음,16.1,0,0,2.9,0.3,86280,35508,25950,24822,4857,21193,19899,14727,11244,4824,819,8717,63.6,0,0
2024-05-10,Friday,0,맑음,17.9,0,0,2.6,2,90126,37318,26944,25864,5397,21940,20656,15392,11608,4844,939,9350,55.6,0,0
2024-05-11,Saturday,1,흐림+폭우,17,31.7,0,3.5,9.3,43797,19726,11657,12414,2352,11305,10259,7216,5857,2420,416,3972,80,1,0
2024-05-12,Sunday,1,맑음,16.6,0,0,2.7,2.6,78304,32436,23407,22461,5164,20629,18790,12721,8809,3265,604,8322,65,0,0
2024-05-13,Monday,0,맑음,18.3,0,0,2.3,0,87689,36117,26308,25264,4902,21747,20442,14918,11294,4616,825,8945,51.9,0,0
2024-05-14,Tuesday,0,맑음,18.8,0,0,2.4,0.1,90914,37471,27166,26277,5419,22261,20928,15361,11739,4876,904,9426,43.3,0,0
2024-05-15,Wednesday,0,흐림+폭우,12.6,20.6,0,2.7,6.5,39945,18031,10737,11177,2024,10075,9384,6844,5524,2277,384,3433,74.3,1,0
2024-05-16,Thursday,0,맑음+비,13.7,0.1,0,3.1,1.5,84106,34637,25319,24150,4531,20838,19552,14427,10976,4435,856,8491,61.3,1,0
2024-05-17,Friday,0,맑음,18.3,0,0,2.2,3.8,90403,37315,26944,26144,5411,21965,20831,15365,11699,4894,947,9291,63.6,0,0
2024-05-18,Saturday,1,맑음,20.7,0,0,2,2.3,85818,35368,25764,24686,5664,22030,20178,13970,10149,3918,729,9180,65.3,0,0
2024-05-19,Sunday,1,맑음,21.5,0,0,1.9,1.1,80369,33460,23929,22980,5339,21353,19100,12908,9008,3507,599,8555,63.1,0,0
2024-05-20,Monday,0,흐림,19.4,0,0,2.3,7.3,85996,35807,25616,24573,4831,21119,19927,14759,11163,4617,861,8719,75,0,0
2024-05-21,Tuesday,0,맑음,21.7,0,0,1.9,2.9,88223,36593,26315,25315,4796,21441,20521,15239,11601,4784,901,8940,68.1,0,0
2024-05-22,Wednesday,0,맑음,20.5,0,0,2.3,5.8,88615,36585,26609,25421,4946,21465,20546,15277,11664,4915,930,8872,68.9,0,0
2024-05-23,Thursday,0,맑음,20.2,0,0,2.5,2.4,87971,36327,26330,25314,4839,21468,20339,15072,11637,4707,887,9022,67.9,0,0
2024-05-24,Friday,0,흐림,20.1,0,0,2.1,6.6,90084,37621,26677,25786,5416,21775,20544,15277,11727,4991,997,9357,75.1,0,0
2024-05-25,Saturday,1,흐림,21.4,0,0,1.8,7.8,85057,35814,25053,24190,5654,21690,19995,13642,10252,3927,730,9167,62.8,0,0
2024-05-26,Sunday,1,흐림+비,19.9,8.7,0,2.7,9,44074,20026,11615,12433,2799,11756,10293,7135,5427,2232,353,4079,74.3,1,0
2024-05-27,Monday,0,맑음,18.5,0,0,3.3,3.3,86253,35715,25785,24753,4796,21216,20142,14636,11211,4596,865,8791,63.4,0,0
2024-05-28,Tuesday,0,맑음,20.4,0,0,2.5,1.9,90689,37440,27476,25773,5010,22086,21174,15514,11882,4964,895,9164,54.8,0,0
2024-05-29,Wednesday,0,맑음,21.2,0,0,2.1,2.8,89174,36998,26633,25543,4894,21562,20741,15356,11681,5004,948,8988,51.6,0,0
2024-05-30,Thursday,0,흐림,20.7,0,0,1.6,8.5,88907,36773,26605,25529,4914,21630,20518,15246,11781,5023,887,8908,49.1,0,0
2024-05-31,Friday,0,맑음+비,20.4,1,0,2.6,3.3,89345,37463,26377,25505,5254,21626,20578,15298,11707,4857,920,9105,60,1,0
2024-06-01,Saturday,1,맑음,20.7,0,0,2.8,4.3,85241,35489,25264,24488,5602,21888,20279,13749,10039,3984,709,8991,61.3,0,0
2024-06-02,Sunday,1,맑음,20.4,0,0,2.7,1.3,80866,33919,23914,23033,5453,21201,19181,13273,9121,3503,607,8527,51.9,0,0
2024-06-03,Monday,0,맑음,22.2,0,0,2.4,1,88359,36596,26501,25262,4904,21802,20682,15038,11389,4713,879,8952,47.4,0,0
2024-06-04,Tuesday,0,맑음,22.8,0,0,2.4,0.1,90216,37352,27071,25793,5117,21946,20957,15338,11865,4945,902,9146,42.1,0,0
2024-06-05,Wednesday,0,맑음,23.6,0,0,1.9,5.4,89841,37494,26690,25657,5301,21756,20648,15340,11770,5038,934,9054,53.9,0,0
2024-06-06,Thursday,0,맑음,24.1,0,0,2,3.4,79071,33468,23211,22392,5457,20416,18627,12615,9347,3734,672,8203,54.3,0,0
2024-06-07,Friday,0,흐림+비,23.1,0.8,0,1.9,8,86637,36467,25559,24611,5397,21153,19857,14449,11217,4686,914,8964,54.3,1,0
2024-06-08,Saturday,1,흐림+폭우,20.3,16.9,0,1.6,7.4,63646,27559,17987,18100,4531,16943,15130,9769,7413,2975,506,6379,79.5,1,0
2024-06-09,Sunday,1,맑음,22.9,0,0,1.8,4.5,77497,32776,22755,21966,5367,20044,18486,12470,8954,3476,587,8113,68.9,0,0
2024-06-10,Monday,0,맑음,24.7,0,0,2.2,1.4,87295,36615,25825,24855,4993,21204,20304,14974,11431,4719,885,8785,66.3,0,0
2024-06-11,Tuesday,0,맑음,25.4,0,0,2.4,5.1,86915,36300,25951,24664,4852,20975,20135,14905,11482,4884,910,8772,62.4,0,0
2024-06-12,Wednesday,0,맑음,24.8,0,0,2.1,4.1,87128,36392,25930,24806,4983,21023,20109,14950,11595,4810,900,8758,60.8,0,0
2024-06-13,Thursday,0,맑음,26.4,0,0,1.8,0.9,85246,35739,25205,24302,4882,20629,19719,14619,11232,4732,899,8534,51.4,0,0
2024-06-14,Friday,0,맑음,26.3,0,0,2.3,5.6,87032,36811,25352,24869,5318,21209,20092,14703,11229,4711,864,8906,56,0,0
2024-06-15,Saturday,1,흐림+비,24.2,6.1,0,1.9,6.5,73407,31532,20976,20899,5035,18968,17206,11483,8909,3589,649,7568,72.3,1,0
2024-06-16,Sunday,1,맑음,24.3,0,0,2.8,0.9,75018,32379,21425,21214,5264,19718,17803,11944,8616,3336,555,7782,58.4,0,0
2024-06-17,Monday,0,맑음,24.8,0,0,2.4,4.6,86533,36311,25732,24490,5067,21247,20152,14692,11181,4529,899,8766,48.4,0,0
2024-06-18,Tuesday,0,맑음,26,0,0,2.1,0,86857,36473,25731,24653,4990,21183,20008,15035,11285,4709,886,8761,59.5,0,0
2024-06-19,Wednesday,0,맑음,28.8,0,0,1.6,3.3,83528,35371,24351,23806,4841,20204,19280,14335,10965,4618,880,8405,54.3,0,0
2024-06-20,Thursday,0,맑음,29.4,0,0,2,2.8,83851,35695,24387,23769,4859,20513,19343,14270,11061,4602,897,8306,45.1,0,0
2024-06-21,Friday,0,맑음,28.1,0,0,2,5.8,85743,36613,24758,24372,5270,20938,19590,14628,11169,4644,867,8637,49.8,0,0
